LLM,Total Codes,Correctness Rate (%),Codes With Issues,Issue Rate (%),Total Issues,Avg Issues Per Code,High Severity,Medium Severity,Low Severity,Undefined Severity,High Confidence,Medium Confidence,Low Confidence
Gemini-Flash-2.0-Thinking (hard),244,13.52,1,0.41,1,0,0,1,0,0,1,0,0
Gemini-Flash-2.0-Thinking-01-21,1021,57.59,1,0.1,3,0,0,2,1,0,3,0,0
Gemini-Flash-2.0-Thinking-01-21 (easy),322,98.14,0,0,0,0,0,0,0,0,0,0,0
Gemini-Flash-2.0-Thinking-01-21 (medium),376,52.93,0,0,0,0,0,0,0,0,0,0,0
Gemini-Flash-2.0-Thinking-01-21 (hard),323,22.6,1,0.31,3,0.01,0,2,1,0,3,0,0
Gemini-Flash-2.0-Thinking-12-19,1029,57.92,1,0.1,2,0,0,2,0,0,2,0,0
Gemini-Flash-2.0-Thinking-12-19 (easy),321,97.82,0,0,0,0,0,0,0,0,0,0,0
Gemini-Flash-2.0-Thinking-12-19 (medium),377,55.7,0,0,0,0,0,0,0,0,0,0,0
Gemini-Flash-2.0-Thinking-12-19 (hard),331,21.75,1,0.3,2,0.01,0,2,0,0,2,0,0
Gemini-Pro-1.5-002,860,42.91,1,0.12,1,0,0,1,0,0,1,0,0
Gemini-Pro-1.5-002 (easy),278,87.41,0,0,0,0,0,0,0,0,0,0,0
Gemini-Pro-1.5-002 (medium),327,30.89,0,0,0,0,0,0,0,0,0,0,0
Gemini-Pro-1.5-002 (hard),255,9.8,1,0.39,1,0,0,1,0,0,1,0,0
Grok-3-Mini (High),966,83.33,1,0.1,2,0,0,0,2,0,0,2,0
Grok-3-Mini (High) (easy),322,98.14,0,0,0,0,0,0,0,0,0,0,0
Grok-3-Mini (High) (medium),376,87.23,1,0.27,2,0.01,0,0,2,0,0,2,0
Grok-3-Mini (High) (hard),268,60.07,0,0,0,0,0,0,0,0,0,0,0
Kimi-k1.6-IOI,871,83.12,0,0,0,0,0,0,0,0,0,0,0
Kimi-k1.6-IOI (easy),279,98.92,0,0,0,0,0,0,0,0,0,0,0
Kimi-k1.6-IOI (medium),330,90,0,0,0,0,0,0,0,0,0,0,0
Kimi-k1.6-IOI (hard),262,57.63,0,0,0,0,0,0,0,0,0,0,0
